focused_origin_audit	integrated_evidence	genes
Not in the frozen focused origin-audit subset	No focused BLASTn/DIAMOND result for this gene	871
Included in infected diet 33 vs 50 origin audit	Non-metazoan-only protein hits without nucleotide corroboration	406
Included in infected diet 33 vs 50 origin audit	Mixed protein evidence	174
Included in infected diet 33 vs 50 origin audit	No informative external evidence	148
Included in infected diet 33 vs 50 origin audit	Concordant non-metazoan nucleotide and protein hits	55
Included in infected diet 33 vs 50 origin audit	External nucleotide support from Orthoptera/Arthropoda	29
Included in infected diet 33 vs 50 origin audit	Conflicting nucleotide and protein evidence	25
Included in infected diet 33 vs 50 origin audit	Arthropod/orthopteran protein support only	24
Included in infected diet 33 vs 50 origin audit	Other-metazoan protein support only	22
Included in infected diet 33 vs 50 origin audit	External nucleotide support from other Metazoa	21
Included in infected diet 33 vs 50 origin audit	Mixed external nucleotide evidence	20
