"term","name","pathway_theme","pathway_scope"
"ko04014","Ras signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04015","Rap1 signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04016","MAPK signaling pathway - plant","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04020","Calcium signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04022","cGMP-PKG signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04024","cAMP signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04070","Phosphatidylinositol signaling system","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04114","Oocyte meiosis","Cellular process","Eukaryote/metazoan-compatible"
"ko04218","Cellular senescence","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04261","Adrenergic signaling in cardiomyocytes","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04270","Vascular smooth muscle contraction","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04371","Apelin signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04626","Plant-pathogen interaction","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04713","Circadian entrainment","Other KEGG pathway","Core metabolism or cross-domain"
"ko04720","Long-term potentiation","Other KEGG pathway","Core metabolism or cross-domain"
"ko04722","Neurotrophin signaling pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04728","Dopaminergic synapse","Other KEGG pathway","Core metabolism or cross-domain"
"ko04740","Olfactory transduction","Other KEGG pathway","Core metabolism or cross-domain"
"ko04744","Phototransduction","Other KEGG pathway","Core metabolism or cross-domain"
"ko04745","Phototransduction - fly","Other KEGG pathway","Core metabolism or cross-domain"
"ko04750","Inflammatory mediator regulation of TRP channels","Other KEGG pathway","Core metabolism or cross-domain"
"ko04910","Insulin signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04912","GnRH signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04915","Estrogen signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04916","Melanogenesis","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04921","Oxytocin signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04922","Glucagon signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04924","Renin secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04925","Aldosterone synthesis and secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04970","Salivary secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04971","Gastric acid secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05010","Alzheimer disease","Reference disease pathway","Reference disease pathway"
"ko05031","Amphetamine addiction","Reference disease pathway","Reference disease pathway"
"ko05034","Alcoholism","Reference disease pathway","Reference disease pathway"
"ko05133","Pertussis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05152","Tuberculosis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05167","Kaposi sarcoma-associated herpesvirus infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko05200","Pathways in cancer","Reference disease pathway","Reference disease pathway"
"ko05214","Glioma","Reference disease pathway","Reference disease pathway"
"ko05418","Fluid shear stress and atherosclerosis","Immune and stress signaling","Core metabolism or cross-domain"
"ko04136","Autophagy - other","Cellular process","Eukaryote/metazoan-compatible"
"ko04138","Autophagy - yeast","Cellular process","Eukaryote/metazoan-compatible"
"ko04140","Autophagy - animal","Cellular process","Eukaryote/metazoan-compatible"
"ko04150","mTOR signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04151","PI3K-Akt signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04714","Thermogenesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00981","Insect hormone biosynthesis","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko04520","Adherens junction","Cellular process","Eukaryote/metazoan-compatible"
"ko04530","Tight junction","Cellular process","Eukaryote/metazoan-compatible"
"ko04540","Gap junction","Cellular process","Eukaryote/metazoan-compatible"
"ko05110","Vibrio cholerae infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko05120","Epithelial cell signaling in Helicobacter pylori infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko05132","Salmonella infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko04120","Ubiquitin mediated proteolysis","Cellular process","Eukaryote/metazoan-compatible"
"ko03010","Ribosome","Genetic information processing","Core metabolism or cross-domain"
"ko04068","FoxO signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04152","AMPK signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04211","Longevity regulating pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04212","Longevity regulating pathway - worm","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04213","Longevity regulating pathway - multiple species","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05206","MicroRNAs in cancer","Genetic information processing","Reference disease pathway"
"ko04940","Type I diabetes mellitus","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko03015","mRNA surveillance pathway","Genetic information processing","Core metabolism or cross-domain"
"ko04071","Sphingolipid signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04113","Meiosis - yeast","Cellular process","Eukaryote/metazoan-compatible"
"ko05165","Human papillomavirus infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko05016","Huntington disease","Reference disease pathway","Reference disease pathway"
"ko04010","MAPK signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04310","Wnt signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04110","Cell cycle","Cellular process","Eukaryote/metazoan-compatible"
"ko04111","Cell cycle - yeast","Cellular process","Eukaryote/metazoan-compatible"
"ko04115","p53 signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko05166","Human T-cell leukemia virus 1 infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko04934","Cushing syndrome","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04391","Hippo signaling pathway - fly","Cellular process","Eukaryote/metazoan-compatible"
"ko00260","Glycine, serine and threonine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00270","Cysteine and methionine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko01100","Metabolic pathways","Broad metabolic map","Broad KEGG reference map"
"ko01130","Biosynthesis of antibiotics","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01230","Biosynthesis of amino acids","Amino acid and nitrogen metabolism","Broad KEGG reference map"
"ko03040","Spliceosome","Genetic information processing","Core metabolism or cross-domain"
"ko05168","Herpes simplex virus 1 infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko04320","Dorso-ventral axis formation","Cellular process","Eukaryote/metazoan-compatible"
"ko00480","Glutathione metabolism","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00980","Metabolism of xenobiotics by cytochrome P450","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00982","Drug metabolism - cytochrome P450","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00983","Drug metabolism - other enzymes","Other KEGG pathway","Core metabolism or cross-domain"
"ko01524","Platinum drug resistance","Other KEGG pathway","Core metabolism or cross-domain"
"ko05204","Chemical carcinogenesis - DNA adducts","Genetic information processing","Reference disease pathway"
